username, created_at, lng, lat, text
RussellKimball9, Fri Feb 05 19:42:17 +0000 2021, -122.285462, 47.206440, @StSabinaSteele Just followed you on many vids 
StableG00111688, Fri Feb 05 19:42:18 +0000 2021, -123.358379, 48.426730, What an epic loss. 
hannahhussle, Fri Feb 05 19:42:19 +0000 2021, -120.882482, 47.273022, 😂😂😂😂 
missgemmaeve, Fri Feb 05 19:42:24 +0000 2021, -122.330602, 47.614817, after spending literally two hours trying to find parking and missing class for it, i parked in a garage and spent… https://t.co/M1KsjJPkDx 
steveh365, Fri Feb 05 19:42:26 +0000 2021, -120.882482, 47.273022, ✨ There’s a special referral event going on in the #Webull mobile app 😍 Participate to win awesome prizes! https://t.co/VQGCXTopNq 
EatMagazine, Fri Feb 05 19:42:32 +0000 2021, -123.364500, 48.428700, Just posted a photo @ Victoria, British Columbia https://t.co/CBFW5n11sv 
tmj_IDN_retail, Fri Feb 05 19:43:01 +0000 2021, -116.588876, 43.610631, Bed Bath &amp; Beyond is hiring in Nampa, ID! Read about our latest #Retail job opening via the link in our bio: Retail… https://t.co/FZQXcdrHN0 
Justice_sf14, Fri Feb 05 19:45:52 +0000 2021, -122.074875, 47.743503, @nikkiii_x0 YES! amazes me every damn time 
terileemcclain, Fri Feb 05 19:45:57 +0000 2021, -122.330602, 47.614817, Can all news stations from Washington State down to California, across to Florida and up to Maine tell tv viewers:… https://t.co/IF0fgFgi1i 
ivy_malone, Fri Feb 05 19:45:59 +0000 2021, -122.330602, 47.614817, If I’ve been avoiding you it’s because of one of two things:1) I just got tested for covid2) I’m avoiding you 
FridayTea, Fri Feb 05 19:46:07 +0000 2021, -122.330602, 47.614817, Do you enjoy friendship and small businesses and BONKERS stories? Yeah, we got those. Thank you to @LightheartAdv f… https://t.co/xS93Kl791X 
Chimaera000, Fri Feb 05 19:46:09 +0000 2021, -120.583402, 44.145437, When I was maybe ten I read a book about Victorian jockey Fred Archer, who was referred to throughout as "Uncle F--… https://t.co/Ww7kpb26Nf 
tmj_wa_eng, Fri Feb 05 19:46:13 +0000 2021, -122.171758, 47.615044, Oracle is looking for teammates like you. See our latest #Engineering job openings, including "Oracle Solution Engi… https://t.co/H7jvByaied 
PalaceLaw, Fri Feb 05 19:46:25 +0000 2021, -122.544736, 47.215098, @sglassmeyer @JoshuaLenon Thank you @sglassmeyer 🙏 
yakimajack50, Fri Feb 05 19:46:31 +0000 2021, -120.529760, 46.594223, I do like what President Biden is doing. But here in Yakima it’s not the troops we need. It’s not to help with nurs… https://t.co/TOJm9YSYKL 
BlackSeaTruck, Fri Feb 05 19:46:34 +0000 2021, -122.164527, 48.088757, Sometimes you just want a good ole juicy cheezy burger. Find us tonight at @cruciblebrewing for #foodtruckfriday fr… https://t.co/0HPJHDijvj 
terileemcclain, Fri Feb 05 19:46:43 +0000 2021, -122.330602, 47.614817, @oprahmagazine This family is : 🤩🤩🤩 https://t.co/MMbLfMUpCv 
gmblake, Fri Feb 05 19:46:46 +0000 2021, -120.583402, 44.145437, @JHopkinsSD @CoachMirabal is an absolute class act! Met him in a Vegas elevator and he recognized me at the grocery… https://t.co/30SiHhRqJa 
Austin76162286, Fri Feb 05 19:46:50 +0000 2021, -120.583402, 44.145437, @randy_caplinger thanks for following me Randy you are awesome 😎 
